step,t,max_u,plate_disp
117,7.31250000e-01,1.6666625969864582e-01,4.2418447513061633e-02
118,7.37500000e-01,1.6666625969864254e-01,4.2801662072689602e-02
119,7.43750000e-01,1.6666625969864565e-01,4.3184821190594781e-02
120,7.50000000e-01,1.6666625969864221e-01,4.3567889354054617e-02
121,7.56250000e-01,1.6666625969864546e-01,4.3950895275671052e-02
122,7.62500000e-01,1.6666625969864196e-01,4.4333831070222041e-02
123,7.68750000e-01,1.6666625969864540e-01,4.4716697448141079e-02
124,7.75000000e-01,1.6666625969864224e-01,4.5099509895803962e-02
125,7.81250000e-01,1.6666625969864546e-01,4.5482234265501520e-02
126,7.87500000e-01,1.6666625969864199e-01,4.5864888413086252e-02
127,7.93750000e-01,1.6666625969864579e-01,4.6247465735731200e-02
128,8.00000000e-01,1.6666625969864196e-01,4.6629975925423298e-02
129,8.06250000e-01,1.6666625969864579e-01,4.7012408734659089e-02
130,8.12500000e-01,1.6666625969864207e-01,4.7394787180337752e-02
131,8.18750000e-01,1.6666625969864576e-01,4.7777084176096545e-02
132,8.25000000e-01,1.6666625969864224e-01,4.8159320385326901e-02
133,8.31250000e-01,1.6666625969864568e-01,4.8541497734019390e-02
134,8.37500000e-01,1.6666625969864243e-01,4.8923584245689634e-02
135,8.43750000e-01,1.6666625969864615e-01,4.9305597855459779e-02
136,8.50000000e-01,1.6666625969864249e-01,4.9687661842112173e-02
137,8.56250000e-01,1.6666625969864582e-01,5.0069660466670989e-02
138,8.62500000e-01,1.6666625969864246e-01,5.0451598571797159e-02
139,8.68750000e-01,1.6666625969864604e-01,5.0833469126525789e-02
140,8.75000000e-01,1.6666625969864246e-01,5.1215278033809944e-02
141,8.81250000e-01,1.6666625969864601e-01,5.1597010060153006e-02
142,8.87500000e-01,1.6666625969864263e-01,5.1978686388351465e-02
143,8.93750000e-01,1.6666625969864582e-01,5.2360282711852689e-02
144,9.00000000e-01,1.6666625969864290e-01,5.2741819736489157e-02
145,9.06250000e-01,1.6666625969864579e-01,5.3132666225626866e-02
146,9.12500000e-01,1.6666625969864279e-01,5.3529708665573113e-02
147,9.18750000e-01,1.6666625969864587e-01,5.3926845504506514e-02
148,9.25000000e-01,1.6666625969864332e-01,5.4324122600090119e-02
149,9.31250000e-01,1.6666625969864565e-01,5.4721490316600840e-02
150,9.37500000e-01,1.6666625969864335e-01,5.5119005903606799e-02
151,9.43750000e-01,1.6666625969864579e-01,5.5516624588190989e-02
152,9.50000000e-01,1.6666625969864327e-01,5.5914363857568559e-02
153,9.56250000e-01,1.6666625969864590e-01,5.6312238360890166e-02
154,9.62500000e-01,1.6666625969864352e-01,5.6710207247863929e-02
155,9.68750000e-01,1.6666625969864615e-01,5.7108311621096447e-02
156,9.75000000e-01,1.6666625969864399e-01,5.7506539083846300e-02
157,9.81250000e-01,1.6666625969864562e-01,5.7904861038583333e-02
158,9.87500000e-01,1.6666625969864421e-01,5.8303316540789525e-02
159,9.93750000e-01,1.6666625969864599e-01,5.8701893619255492e-02
160,1.00000000e+00,1.6666625969864413e-01,5.9100600068484999e-02
161,1.00625000e+00,1.6666625969864610e-01,5.9499429343021507e-02
162,1.01250000e+00,1.6666625969864443e-01,5.9898378421301655e-02
163,1.01875000e+00,1.6666625969864615e-01,6.0297451462685538e-02
164,1.02500000e+00,1.6666625969864426e-01,6.0696637807890259e-02
165,1.03125000e+00,1.6666625969864679e-01,6.1095955929115361e-02
166,1.03750000e+00,1.6666625969864432e-01,6.1495372598486579e-02
167,1.04375000e+00,1.6666625969864649e-01,6.1894926742131519e-02
