t,u_L2,p_L2,solid_force_L2,volume,inlet_scale,tip_dx,tip_dy,cyl_dx,cyl_dy,max_u,umax_x,umax_y,elapsed_s
8.50000000e-01,5.9633871467e+07,4.5889220748e+12,2.2536215549e+05,1.4844066232e+02,7.6655463614e+01,1.2289355152e-02,-4.0532963236e-02,2.4679288988e-03,1.8945259513e-05,1.6452735985e+02,17.5000,27.5000,2854.559
8.60000000e-01,6.2091414225e+07,4.6280340367e+12,2.2536242657e+05,1.4844078418e+02,7.8185675860e+01,1.2350317530e-02,-4.0810206980e-02,2.5166211777e-03,2.0655247754e-05,1.6827093070e+02,17.5000,27.5000,2885.574
8.70000000e-01,6.4609903729e+07,4.6648586215e+12,2.2536274291e+05,1.4844090302e+02,7.9721270464e+01,1.2402501018e-02,-4.1054145053e-02,2.5656408411e-03,2.2455615862e-05,1.7201466482e+02,17.5000,27.5000,2924.983
8.80000000e-01,6.7189414379e+07,4.6993523812e+12,2.2536310685e+05,1.4844101853e+02,8.1261868541e+01,1.2445392515e-02,-4.1263202988e-02,2.6149737197e-03,2.4342670059e-05,1.7575822238e+02,17.5000,27.5000,2959.857
8.90000000e-01,6.9829973837e+07,4.7314760821e+12,2.2536352090e+05,1.4844113053e+02,8.2807089972e+01,1.2478482126e-02,-4.1435708773e-02,2.6646059911e-03,2.6311838736e-05,1.7956713755e+02,17.0000,27.0000,2993.247
9.00000000e-01,7.2531562493e+07,4.7611945165e+12,2.2536398776e+05,1.4844123891e+02,8.4356553496e+01,1.2501273609e-02,-4.1569943381e-02,2.7145241069e-03,2.8357576219e-05,1.8340779603e+02,17.0000,27.0000,3035.262
9.10000000e-01,7.5294112997e+07,4.7884764379e+12,2.2536451044e+05,1.4844134361e+02,8.5909876806e+01,1.2513299182e-02,-4.1664199508e-02,2.7647150418e-03,3.0473314894e-05,1.8724666382e+02,17.0000,27.0000,3064.812
9.20000000e-01,7.8117509858e+07,4.8132945565e+12,2.2536509227e+05,1.4844144462e+02,8.7466676644e+01,1.2514134756e-02,-4.1716836332e-02,2.8151666006e-03,3.2651548236e-05,1.9108274104e+02,17.0000,27.0000,3104.273
9.30000000e-01,8.1001589100e+07,4.8356256196e+12,2.2536573704e+05,1.4844154197e+02,8.9026568891e+01,1.2503415742e-02,-4.1726308914e-02,2.8658678946e-03,3.4883801912e-05,1.9493602912e+02,18.0000,27.5000,3137.049
9.40000000e-01,8.3946137993e+07,4.8554505192e+12,2.2536644897e+05,1.4844163569e+02,9.0589168668e+01,1.2480850145e-02,-4.1691165067e-02,2.9168098008e-03,3.7160593039e-05,1.9881252727e+02,18.0000,27.5000,3168.350
9.50000000e-01,8.6950894826e+07,4.8727543843e+12,2.2536723284e+05,1.4844172588e+02,9.2154090427e+01,1.2446226236e-02,-4.1610013122e-02,2.9679852678e-03,3.9471590183e-05,2.0268423006e+02,18.0000,27.5000,3200.039
